zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
3029918,FOR_RENT,House for rent,,1545.0,1110.0,1.0,198300.0,179.0,1600.0,,,4.0,1.0,"4104 Tesson St, Saint Louis, MO 63123",4104 Tesson St,Saint Louis,MO,63123,38.556274,-90.281555,,False,,,,
2071229296,FOR_RENT,Apartment for rent,,1050.0,975.0,1.0,,,1028.0,,,1.0,1.0,"4225 Botanical Ave #A, Saint Louis, MO 63110",4225 Botanical Ave #A,Saint Louis,MO,63110,38.610336,-90.25542,,False,,,,
455040077,FOR_RENT,Apartment for rent,,925.0,799.0,1.0,,,,,,1.0,1.0,"6518A Morganford Rd, Saint Louis, MO 63116",6518A Morganford Rd,Saint Louis,MO,63116,38.58601,-90.2656,,False,,,,
2652908,FOR_RENT,House for rent,,1450.0,875.0,2.0,109500.0,125.0,1487.0,,,3.0,1.0,"528 Royal Ave, Saint Louis, MO 63135",528 Royal Ave,Saint Louis,MO,63135,38.74987,-90.29845,,False,,,,
89060357,FOR_RENT,House for rent,,2590.0,1500.0,2.0,297100.0,198.0,2336.0,,,3.0,2.0,"2730 Glenstone Ct, Imperial, MO 63052",2730 Glenstone Ct,Imperial,MO,63052,38.363773,-90.43778,,False,,,,
2070051360,FOR_RENT,Apartment for rent,,795.0,450.0,2.0,,,832.0,,,,1.0,"2423 Sutton Blvd #3, Saint Louis, MO 63143",2423 Sutton Blvd #3,Saint Louis,MO,63143,38.61611,-90.32004,,False,,,,
2678166,FOR_RENT,House for rent,,1670.0,1200.0,1.0,171500.0,143.0,1616.0,,,3.0,1.0,"7 Francis Ct, Saint Louis, MO 63114",7 Francis Ct,Saint Louis,MO,63114,38.718674,-90.35611,,False,,,,
2644924,FOR_RENT,House for rent,,1200.0,1196.0,1.0,105400.0,88.0,1329.0,,,3.0,1.0,"223 Midlothian Rd, Saint Louis, MO 63137",223 Midlothian Rd,Saint Louis,MO,63137,38.755703,-90.19954,,False,,,,
2691418,FOR_RENT,House for rent,,995.0,819.0,1.0,91200.0,111.0,1059.0,,,1.0,1.0,"7210 Eunice Ave, Saint Louis, MO 63136",7210 Eunice Ave,Saint Louis,MO,63136,38.717087,-90.26948,,False,,,,
452129902,FOR_RENT,Apartment for rent,,1650.0,1150.0,1.0,,,,,,3.0,2.0,"614 Broadmoor Dr #A, Chesterfield, MO 63017",614 Broadmoor Dr #A,Chesterfield,MO,63017,38.678368,-90.50185,,False,,,,
