zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
456259752,FOR_RENT,Apartment for rent,,1000.0,900.0,1.0,,,,,,2.0,1.0,"401 E Broad St #4, Tamaqua, PA 18252",401 E Broad St #4,Tamaqua,PA,18252,40.797577,-75.96383,,False,,,,
111859373,FOR_RENT,Apartment for rent,,1600.0,900.0,2.0,,,1386.0,,,1.0,1.0,"8241 Jonestown Rd, Grantville, PA 17028",8241 Jonestown Rd,Grantville,PA,17028,40.357445,-76.70283,,False,,,,
352443107,FOR_RENT,Apartment for rent,,825.0,850.0,1.0,,,1147.0,,,1.0,1.0,"183 Zerby Ave APT A, Kingston, PA 18704",183 Zerby Ave APT A,Kingston,PA,18704,41.2679,-75.90195,,False,,,,
93724785,FOR_RENT,House for rent,,1050.0,520.0,2.0,,,870.0,,,3.0,1.0,"520 Howard Ave, Pottsville, PA 17901",520 Howard Ave,Pottsville,PA,17901,40.682068,-76.19799,,False,,,,
53540418,FOR_RENT,House for rent,,1500.0,1615.0,1.0,180600.0,112.0,1512.0,,,3.0,2.0,"156 Sharpe St, Nanticoke, PA 18634",156 Sharpe St,Nanticoke,PA,18634,41.180935,-76.01152,,False,,,,
442350852,FOR_RENT,Apartment for rent,,1100.0,1200.0,1.0,,,,,,4.0,1.0,"101 N 2nd St #1, Newport, PA 17074",101 N 2nd St #1,Newport,PA,17074,40.47891,-77.13211,,False,,,,
9047077,FOR_RENT,Townhouse for rent,,2150.0,1200.0,2.0,315200.0,263.0,2313.0,,,3.0,3.0,"1010 Denby Ct, Quakertown, PA 18951",1010 Denby Ct,Quakertown,PA,18951,40.419075,-75.37345,,False,,,,
9599902,FOR_RENT,Townhouse for rent,,2000.0,1232.0,2.0,203700.0,165.0,1857.0,,,3.0,1.0,"743 S 10th St, Allentown, PA 18103",743 S 10th St,Allentown,PA,18103,40.592434,-75.47434,,False,,,,
2070848386,FOR_RENT,Apartment for rent,,1100.0,450.0,2.0,,,1051.0,,,1.0,1.0,"1 13th St, Honesdale, PA 18431",1 13th St,Honesdale,PA,18431,41.579308,-75.25641,,False,,,,
456248478,FOR_RENT,Apartment for rent,,1800.0,1000.0,2.0,,,,,,2.0,1.0,"118 S Chestnut St APT 1, Bath, PA 18014",118 S Chestnut St APT 1,Bath,PA,18014,40.726513,-75.3943,,False,,,,
456187074,FOR_RENT,Apartment for rent,,2650.0,1768.0,1.0,,,,,,3.0,2.0,"120 Nickel Dr #1, Bechtelsville, PA 19505",120 Nickel Dr #1,Bechtelsville,PA,19505,40.366234,-75.63161,,False,,,,
2063110597,FOR_RENT,Apartment for rent,,875.0,650.0,1.0,,,863.0,,,1.0,1.0,"305 Northumberland St #2A, White Haven, PA 18661",305 Northumberland St #2A,White Haven,PA,18661,41.059917,-75.77494,,False,,,,
348936679,FOR_RENT,Apartment for rent,,1600.0,,,,,1493.0,,,2.0,1.0,"29 W 5th St FLOOR 2, Boyertown, PA 19512",29 W 5th St FLOOR 2,Boyertown,PA,19512,40.335747,-75.63658,,False,,,,
63683694,FOR_RENT,Townhouse for rent,,3200.0,2113.0,2.0,279300.0,132.0,2515.0,,,4.0,3.0,"2174 Oak Hill Dr, Canadensis, PA 18325",2174 Oak Hill Dr,Canadensis,PA,18325,41.200478,-75.28029,,False,,,,
456249813,FOR_RENT,Apartment for rent,,2200.0,,,,,,,,2.0,1.0,"365 Butler Ave #2, Doylestown, PA 18901",365 Butler Ave #2,Doylestown,PA,18901,40.30088,-75.169846,,False,,,,
456256482,FOR_RENT,Apartment for rent,,1000.0,2000.0,1.0,,,,,,2.0,1.0,"386 Reynolds St, Kingston, PA 18704",386 Reynolds St,Kingston,PA,18704,41.260357,-75.88449,,False,,,,
456235399,FOR_RENT,Apartment for rent,,1600.0,1850.0,1.0,,,,,,3.0,1.0,"711 S Hanover St #2, Nanticoke, PA 18634",711 S Hanover St #2,Nanticoke,PA,18634,41.197353,-76.00309,,False,,,,
8829770,FOR_RENT,House for rent,,3000.0,1360.0,2.0,107400.0,79.0,1548.0,,,2.0,1.0,"(undisclosed Address), Reading, PA 19602",(undisclosed Address),Reading,PA,19602,,,,False,,,,
2058132883,FOR_RENT,Apartment for rent,,1550.0,1000.0,2.0,,,1161.0,,,1.0,1.0,"236 N Main St #1, Telford, PA 18969",236 N Main St #1,Telford,PA,18969,40.326458,-75.33111,,False,,,,
456205847,FOR_RENT,Apartment for rent,,1500.0,1550.0,1.0,,,,,,3.0,2.0,"6 Barney St #1, Plymouth, PA 18651",6 Barney St #1,Plymouth,PA,18651,41.253498,-75.943375,,False,,,,
448836769,FOR_RENT,Apartment for rent,,975.0,400.0,2.0,,,,,,1.0,1.0,"Somerset Manor Apartments, 749 Poplar St, Central City, PA 15926",749 Poplar St #FAA52684C,Central City,PA,15926,40.110184,-78.80523,,False,,,,
456245805,FOR_RENT,Townhouse for rent,,2000.0,1600.0,1.0,,,,,,3.0,3.0,"4 Landing Pl, York, PA 17408",4 Landing Pl,York,PA,17408,39.906593,-76.844,,False,,,,
8906502,FOR_RENT,Townhouse for rent,,2300.0,1408.0,2.0,238100.0,169.0,2077.0,,,3.0,3.0,"1155 Fredrick Blvd, Reading, PA 19605",1155 Fredrick Blvd,Reading,PA,19605,40.40051,-75.953415,,False,,,,
82771070,FOR_RENT,Townhouse for rent,,1950.0,1460.0,1.0,229900.0,157.0,1897.0,,,3.0,3.0,"865 Rachel Dr, York, PA 17404",865 Rachel Dr,York,PA,17404,40.054543,-76.78176,,False,,,,
456256639,FOR_RENT,Apartment for rent,,1350.0,1952.0,1.0,,,,,,3.0,1.0,"523 S Pershing Ave APT 2, York, PA 17401",523 S Pershing Ave APT 2,York,PA,17401,39.953564,-76.727325,,False,,,,
2062573720,FOR_RENT,Apartment for rent,,1085.0,795.0,1.0,,,977.0,,,1.0,1.0,"263 Market St #1, Middletown, PA 17057",263 Market St #1,Middletown,PA,17057,40.19302,-76.73747,,False,,,,
2077384271,FOR_RENT,Apartment for rent,,1100.0,550.0,2.0,,,1189.0,,,1.0,1.0,"103 E College Ave #101, Elizabethtown, PA 17022",103 E College Ave #101,Elizabethtown,PA,17022,40.148174,-76.6009,,False,,,,
456251126,FOR_RENT,Apartment for rent,,900.0,,,,,,,,1.0,1.0,"619 Cumberland St #3, Lebanon, PA 17042",619 Cumberland St #3,Lebanon,PA,17042,40.33987,-76.42183,,False,,,,
2059035268,FOR_RENT,Apartment for rent,,2200.0,1400.0,2.0,,,1698.0,,,3.0,2.0,"637 E Orange St FLOOR 2, Lancaster, PA 17602",637 E Orange St FLOOR 2,Lancaster,PA,17602,40.04139,-76.292046,,False,,,,
2078614281,FOR_RENT,Apartment for rent,,975.0,,,,,872.0,,,1.0,1.0,"58 E Main St APT 4, Middletown, PA 17057",58 E Main St APT 4,Middletown,PA,17057,40.20016,-76.72982,,False,,,,
60514048,FOR_RENT,House for rent,,1400.0,672.0,2.0,149700.0,223.0,1110.0,,,2.0,1.0,"25 E 10th Ave, York, PA 17404",25 E 10th Ave,York,PA,17404,39.98147,-76.73336,,False,,,,
9248585,FOR_RENT,House for rent,,2300.0,966.0,2.0,186800.0,193.0,1487.0,,,2.0,1.0,"4435 Woodward Dr, Mechanicsburg, PA 17050",4435 Woodward Dr,Mechanicsburg,PA,17050,40.25845,-76.96701,,False,,,,
455992475,FOR_RENT,Apartment for rent,,2195.0,2017.0,1.0,,,,,,2.0,2.0,"136 Fairview Ave #2, Lancaster, PA 17603",136 Fairview Ave #2,Lancaster,PA,17603,40.029945,-76.317,,False,,,,
2059248413,FOR_RENT,Apartment for rent,,1600.0,1150.0,1.0,,,1280.0,,,3.0,1.0,"820 N 4th St #2, Reading, PA 19601",820 N 4th St #2,Reading,PA,19601,40.34816,-75.929794,,False,,,,
456239957,FOR_RENT,Apartment for rent,,1350.0,800.0,2.0,,,,,,2.0,1.0,"20 E Pershing Ave APT 2, Lebanon, PA 17042",20 E Pershing Ave APT 2,Lebanon,PA,17042,40.334217,-76.41074,,False,,,,
456240379,FOR_RENT,Apartment for rent,,850.0,,,,,,,,1.0,1.0,"3570 Chambersburg Rd APT 2, Biglerville, PA 17307",3570 Chambersburg Rd APT 2,Biglerville,PA,17307,39.885292,-77.345695,,False,,,,
60401437,FOR_RENT,Townhouse for rent,,1750.0,1656.0,1.0,167300.0,101.0,1634.0,,,4.0,2.0,"306 Chestnut St, York, PA 17403",306 Chestnut St,York,PA,17403,39.96763,-76.72352,,False,,,,
60479142,FOR_RENT,House for rent,,3000.0,3016.0,1.0,350900.0,116.0,2312.0,,,4.0,2.0,"2403 W Market St, York, PA 17404",2403 W Market St,York,PA,17404,39.951164,-76.77721,,False,,,,
456227433,FOR_RENT,Apartment for rent,,1395.0,1000.0,1.0,,,,,,3.0,1.0,"629 N 5th St UNIT 1R, Reading, PA 19601",629 N 5th St UNIT 1R,Reading,PA,19601,40.34576,-75.927185,,False,,,,
456148796,FOR_RENT,Apartment for rent,,950.0,850.0,1.0,,,,,,1.0,1.0,"(undisclosed Address), Newmanstown, PA 17073",(undisclosed Address),Newmanstown,PA,17073,,,,False,,,,
456070309,FOR_RENT,Apartment for rent,,2100.0,,,,,,,,3.0,1.0,"1701 N 15th St FLOOR 1-A, Reading, PA 19604",1701 N 15th St FLOOR 1-A,Reading,PA,19604,40.360657,-75.90742,,False,,,,
9271366,FOR_RENT,Townhouse for rent,,1200.0,640.0,2.0,112500.0,176.0,1326.0,,,2.0,1.0,"31 Chestnut St, Newville, PA 17241",31 Chestnut St,Newville,PA,17241,40.170662,-77.399506,,False,,,,
456206182,FOR_RENT,Apartment for rent,,1700.0,,,,,,,,3.0,1.0,"231 Clymer St #2, Reading, PA 19602",231 Clymer St #2,Reading,PA,19602,40.33061,-75.90869,,False,,,,
83088953,FOR_RENT,Townhouse for rent,,1775.0,1304.0,1.0,225800.0,173.0,1737.0,,,3.0,3.0,"1050 Matthew Dr, York, PA 17404",1050 Matthew Dr,York,PA,17404,40.055126,-76.780464,,False,,,,
456189136,FOR_RENT,Apartment for rent,,2350.0,1750.0,1.0,,,,,,3.0,2.0,"311 S Keesey St #1, York, PA 17402",311 S Keesey St #1,York,PA,17402,39.96816,-76.68769,,False,,,,
119186293,FOR_RENT,Townhouse for rent,,2500.0,2352.0,1.0,362200.0,154.0,2374.0,,,4.0,3.0,"17 Kerry Ct, Mechanicsburg, PA 17050",17 Kerry Ct,Mechanicsburg,PA,17050,40.218254,-77.029816,,False,,,,
54224862,FOR_RENT,Townhouse for rent,,1895.0,1255.0,2.0,280100.0,223.0,1699.0,,,3.0,2.0,"2223 Olde Meadow Ct, East Petersburg, PA 17520",2223 Olde Meadow Ct,East Petersburg,PA,17520,40.106667,-76.34894,,False,,,,
455975388,FOR_RENT,Apartment for rent,,1500.0,,,,,,,,2.0,1.0,"26 Pennsylvania Ave #4, York Haven, PA 17370",26 Pennsylvania Ave #4,York Haven,PA,17370,40.11086,-76.714554,,False,,,,
86417265,FOR_RENT,Townhouse for rent,,1580.0,928.0,2.0,96100.0,104.0,1402.0,,,2.0,1.0,"1821 Forster St, Harrisburg, PA 17103",1821 Forster St,Harrisburg,PA,17103,40.274548,-76.8657,,False,,,,
456183269,FOR_RENT,Apartment for rent,,2100.0,1800.0,1.0,,,,,,3.0,2.0,"31 Larch Dr #31, Shippensburg, PA 17257",31 Larch Dr #31,Shippensburg,PA,17257,40.04449,-77.49468,,False,,,,
455716955,FOR_RENT,Apartment for rent,,1200.0,1200.0,1.0,,,,,,1.0,1.0,"662 E Chestnut St #1, York, PA 17403",662 E Chestnut St #1,York,PA,17403,39.970303,-76.71613,,False,,,,
456224616,FOR_RENT,Apartment for rent,,1350.0,900.0,2.0,,,,,,2.0,1.0,"43 N Newberry St #2, York, PA 17401",43 N Newberry St #2,York,PA,17401,39.96143,-76.73497,,False,,,,
86420801,FOR_RENT,House for rent,,2500.0,1643.0,2.0,324600.0,198.0,1955.0,,,3.0,2.0,"127 W Caracas Ave, Hershey, PA 17033",127 W Caracas Ave,Hershey,PA,17033,40.2837,-76.65292,,False,,,,
