zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
249551168,FOR_RENT,House for rent,,2250.0,2026.0,1.0,470600.0,232.0,2406.0,,,4.0,2.0,"727 N Ash Pine Way, Meridian, ID 83642",727 N Ash Pine Way,Meridian,ID,83642,43.61113,-116.440796,,False,,,,
79525995,FOR_RENT,House for rent,,2495.0,2020.0,1.0,482200.0,239.0,2541.0,,,4.0,3.0,"3075 N Thames Ave, Meridian, ID 83646",3075 N Thames Ave,Meridian,ID,83646,43.632713,-116.43232,,False,,,,
79621075,FOR_RENT,House for rent,,2400.0,1755.0,1.0,479900.0,273.0,2525.0,,,3.0,2.0,"2102 S Latah St, Boise, ID 83705",2102 S Latah St,Boise,ID,83705,43.583496,-116.2282,,False,,,,
2118107981,FOR_RENT,Apartment for rent,,1295.0,900.0,1.0,,,1305.0,,,2.0,1.0,"2018 E White Oak Ct APT 202, Nampa, ID 83687",2018 E White Oak Ct APT 202,Nampa,ID,83687,43.57385,-116.54607,,False,,,,
454040757,FOR_RENT,Apartment for rent,,4280.0,,,,,,,,3.0,2.0,"1213 Cattail St #ID1250619P, Nampa, ID 83686",1213 Cattail St #ID1250619P,Nampa,ID,83686,43.55708,-116.597626,,False,,,,
454040762,FOR_RENT,Apartment for rent,,3280.0,1797.0,2.0,,,,,,3.0,3.0,"5643 E Bollo St #ID1250641P, Nampa, ID 83687",5643 E Bollo St #ID1250641P,Nampa,ID,83687,43.620205,-116.506454,,False,,,,
454040776,FOR_RENT,Apartment for rent,,4610.0,,,,,,,,3.0,3.0,"262 N Falling Water Ave #ID1250668P, Eagle, ID 83616",262 N Falling Water Ave #ID1250668P,Eagle,ID,83616,43.697247,-116.32224,,False,,,,
454040792,FOR_RENT,Apartment for rent,,6630.0,2991.0,2.0,,,,,,6.0,3.0,"2480 W San Remo Ct #ID1250651P, Meridian, ID 83646",2480 W San Remo Ct #ID1250651P,Meridian,ID,83646,43.63994,-116.42461,,False,,,,
454040795,FOR_RENT,Apartment for rent,,5140.0,2195.0,2.0,,,,,,4.0,2.0,"4289 N Glassford Ave #ID1250678P, Meridian, ID 83646",4289 N Glassford Ave #ID1250678P,Meridian,ID,83646,43.6438,-116.47891,,False,,,,
453933792,FOR_RENT,Apartment for rent,,5600.0,3196.0,2.0,,,,,,4.0,3.0,"3462 W Foxfire St #ID1250628P, Boise, ID 83713",3462 W Foxfire St #ID1250628P,Boise,ID,83713,43.636307,-116.34136,,False,,,,
453933802,FOR_RENT,Apartment for rent,,5010.0,2841.0,2.0,,,,,,4.0,3.0,"3024 W Divide Creek Dr #ID1250603P, Meridian, ID 83646",3024 W Divide Creek Dr #ID1250603P,Meridian,ID,83646,43.652523,-116.431335,,False,,,,
453933814,FOR_RENT,Apartment for rent,,5160.0,,,,,,,,4.0,2.0,"9541 W Silverbirch St #ID1250627P, Boise, ID 83709",9541 W Silverbirch St #ID1250627P,Boise,ID,83709,43.56239,-116.30093,,False,,,,
453933828,FOR_RENT,Apartment for rent,,16100.0,6391.0,3.0,,,,,,6.0,4.0,"5605 N Morpheus Pl #ID1250634P, Meridian, ID 83646",5605 N Morpheus Pl #ID1250634P,Meridian,ID,83646,43.65576,-116.38171,,False,,,,
