"slug","city","population","pop2025","pop2020","growth","type","pop2024","densityMi","areaMi","lat","lng","rank"
"illinois/jerseyville","Jerseyville",8223,8223,8323,-0.0024263,"City",8243,1570,5.237,39.1172,-90.3267,257
"illinois/long-grove","Long Grove",8203,8203,8352,-0.00364387,"Village",8233,662,12.387,42.195,-88.011,258
"illinois/glenwood","Glenwood",8024,8024,8634,-0.0149767,"Village",8146,2458,3.264,41.541,-87.6118,259
"illinois/oak-brook","Oak Brook",7979,7979,8153,-0.00436736,"Village",8014,1000,7.976,41.8364,-87.9532,260
"illinois/island-lake","Island Lake",7964,7964,8033,-0.00175483,"Village",7978,2378,3.349,42.2788,-88.2005,261
"illinois/paris","Paris",7893,7893,8258,-0.00916395,"City",7966,1390,5.679,39.6151,-87.6891,262
"illinois/lincolnshire","Lincolnshire",7890,7890,7945,-0.00139223,"Village",7901,1730,4.561,42.1965,-87.9177,263
"illinois/west-dundee","West Dundee",7884,7884,7868,0.000380662,"Village",7881,1976,3.99,42.1106,-88.3437,264
"illinois/south-beloit","South Beloit",7838,7838,7975,-0.00343293,"City",7865,1276,6.144,42.4848,-89.0274,265
"illinois/silvis","Silvis",7832,7832,7991,-0.00406918,"City",7864,1828,4.285,41.4977,-90.4101,266
"illinois/park-city","Park City",7815,7815,7882,-0.0016607,"City",7828,6755,1.157,42.3537,-87.8924,267
"illinois/round-lake-park","Round Lake Park",7764,7764,7664,0.00258264,"Village",7744,3762,2.064,42.3407,-88.0812,268
"illinois/harrisburg","Harrisburg",7713,7713,8197,-0.01242,"City",7810,1167,6.612,37.7377,-88.5458,269
"illinois/rockton","Rockton",7712,7712,7851,-0.00361757,"Village",7740,1124,6.862,42.4471,-89.0631,270
"illinois/hillside","Hillside",7685,7685,8280,-0.0152486,"Village",7804,2426,3.168,41.8675,-87.9018,271
"illinois/marengo","Marengo",7643,7643,7555,0.00236065,"City",7625,859,8.902,42.2466,-88.5975,272
"illinois/broadview","Broadview",7628,7628,7962,-0.00870695,"Village",7695,4293,1.777,41.8584,-87.8562,273
"illinois/princeton","Princeton",7620,7620,7819,-0.00522193,"City",7660,925,8.24,41.3806,-89.4641,274
"illinois/volo","Volo",7554,7554,6209,0.0369252,"Village",7285,1832,4.123,42.3303,-88.1587,275
"illinois/vandalia","Vandalia",7294,7294,7453,-0.004368,"City",7326,895,8.147,38.9746,-89.1107,276
"illinois/sandwich","Sandwich",7212,7212,7212,0,"City",7212,1523,4.736,41.6501,-88.619,277
"illinois/inverness","Inverness",7115,7115,7582,-0.0129023,"Village",7208,1089,6.534,42.1151,-88.1009,278
"illinois/west-frankfort","West Frankfort",7073,7073,7253,-0.005064,"City",7109,1419,4.984,37.8995,-88.9308,279
"illinois/robinson","Robinson",6924,6924,7138,-0.00617195,"City",6967,1474,4.699,39.0086,-87.7334,280
"illinois/greenville","Greenville",6922,6922,7064,-0.00402878,"City",6950,1097,6.309,38.8866,-89.3894,281
