"slug","city","population","pop2025","pop2020","growth","type","pop2024","densityMi","areaMi","lat","lng","rank"
"illinois/winnebago","Winnebago",2843,2843,2922,-0.00559636,"Village",2859,1470,1.934,42.2671,-89.234,431
"illinois/cherry-valley","Cherry Valley",2842,2842,2896,-0.00385559,"Village",2853,338,8.405,42.2352,-88.9751,432
"illinois/dixmoor","Dixmoor",2825,2825,3000,-0.0122378,"Village",2860,2262,1.249,41.6329,-87.6672,433
"illinois/long-lake","Long Lake",2795,2795,3065,-0.0168836,"CDP",2843,2369,1.18,42.3721,-88.1273,434
"illinois/abingdon","Abingdon",2788,2788,2945,-0.0109968,"City",2819,1956,1.425,40.8038,-90.4009,435
"illinois/mount-morris","Mount Morris",2783,2783,2848,-0.0046495,"Village",2796,1784,1.56,42.0483,-89.4293,436
"illinois/knoxville","Knoxville",2764,2764,2891,-0.00896379,"City",2789,1176,2.35,40.9069,-90.2857,437
"illinois/havana","Havana",2741,2741,2956,-0.0154454,"City",2784,987,2.776,40.2951,-90.0578,438
"illinois/newton","Newton",2726,2726,2768,-0.00292611,"City",2734,1306,2.088,38.9873,-88.1644,439
"illinois/el-paso","El Paso",2723,2723,2752,-0.00219861,"City",2729,1269,2.145,40.7405,-89.0182,440
"illinois/diamond","Diamond",2718,2718,2627,0.00666667,"Village",2700,1431,1.9,41.2852,-88.2507,441
"illinois/pawnee","Pawnee",2704,2704,2684,0.00148148,"Village",2700,2030,1.332,39.5937,-89.5846,442
"illinois/venetian-village","Venetian Village",2697,2697,2561,-0.00332594,"CDP",2706,1520,1.774,42.4061,-88.0455,443
"illinois/savanna","Savanna",2670,2670,2774,-0.00780379,"City",2691,1021,2.616,42.0938,-90.1391,444
"illinois/willowbrook-will-county","Willowbrook",2655,2655,2062,0.0149083,"CDP",2616,1810,1.467,41.4476,-87.5316,445
"illinois/hamilton","Hamilton",2653,2653,2742,-0.00673905,"City",2671,745,3.561,40.3915,-91.3613,446
"illinois/oakbrook-terrace","Oakbrook Terrace",2653,2653,2745,-0.00673905,"City",2671,2028,1.308,41.8536,-87.969,447
"illinois/bushnell","Bushnell",2651,2651,2705,-0.00413223,"City",2662,1252,2.117,40.5516,-90.5047,448
"illinois/fairmont","Fairmont",2629,2629,2690,0.00420168,"CDP",2618,1890,1.391,41.5614,-88.0587,449
"illinois/trenton","Trenton",2615,2615,2682,-0.00494673,"City",2628,1389,1.883,38.6083,-89.6852,450
"illinois/christopher","Christopher",2605,2605,2684,-0.00610454,"City",2621,1606,1.622,37.971,-89.053,451
"illinois/lena","Lena",2604,2604,2756,-0.0113895,"Village",2634,982,2.651,42.3786,-89.8217,452
"illinois/preston-heights","Preston Heights",2589,2589,2529,0.000386398,"CDP",2588,2236,1.158,41.4953,-88.0809,453
"illinois/mcleansboro","McLeansboro",2587,2587,2644,-0.00423403,"City",2598,943,2.744,38.0903,-88.5386,454
"illinois/sumner","Sumner",2570,2570,2635,-0.00503291,"City",2583,1838,1.398,38.7154,-87.8667,455
"illinois/davis-junction","Davis Junction",2554,2554,2511,0.00353634,"Village",2545,608,4.2,42.1146,-89.0903,456
"illinois/round-lake-heights","Round Lake Heights",2547,2547,2616,-0.00546661,"Village",2561,4430,0.575,42.3846,-88.1059,457
"illinois/tilton","Tilton",2508,2508,2652,-0.0114308,"Village",2537,660,3.802,40.095,-87.6422,458
"illinois/aviston","Aviston",2469,2469,2351,0.00981595,"Village",2445,1543,1.6,38.626,-89.6134,459
"illinois/marquette-heights","Marquette Heights",2457,2457,2539,-0.00646987,"City",2473,2523,0.974,40.6184,-89.6047,460
"illinois/washington-park","Washington Park",2439,2439,2573,-0.0109489,"Village",2466,956,2.552,38.6285,-90.0926,461
"illinois/villa-grove","Villa Grove",2412,2412,2482,-0.00577082,"City",2426,1606,1.502,39.8645,-88.1597,462
"illinois/carthage","Carthage",2408,2408,2490,-0.00660066,"City",2424,952,2.529,40.4143,-91.1281,463
"illinois/sheridan","Sheridan",2408,2408,2432,-0.00207211,"Village",2413,1135,2.121,41.5295,-88.6807,464
"illinois/galva","Galva",2384,2384,2459,-0.00625261,"City",2399,862,2.765,41.1689,-90.0374,465
"illinois/fox-lake-hills","Fox Lake Hills",2350,2350,2125,-0.00676247,"CDP",2366,1853,1.268,42.4135,-88.126,466
"illinois/carrollton","Carrollton",2341,2341,2473,-0.0109844,"City",2367,1231,1.902,39.2945,-90.4069,467
"illinois/kenilworth","Kenilworth",2333,2333,2503,-0.0143642,"Village",2367,3843,0.607,42.0888,-87.7145,468
"illinois/casey","Casey",2313,2313,2405,-0.00772201,"City",2331,882,2.622,39.3054,-87.9853,469
"illinois/henry","Henry",2303,2303,2325,-0.00173385,"City",2307,1282,1.797,41.1174,-89.3573,470
"illinois/seneca","Seneca",2289,2289,2343,-0.00478261,"Village",2300,369,6.205,41.3026,-88.6147,471
"illinois/arthur","Arthur",2267,2267,2227,0.00354139,"Village",2259,1696,1.337,39.7145,-88.4696,472
"illinois/farmington","Farmington",2248,2248,2385,-0.0118681,"City",2275,1494,1.505,40.697,-90.0023,473
"illinois/polo","Polo",2232,2232,2281,-0.0044603,"City",2242,1538,1.451,41.9848,-89.5804,474
"illinois/tremont","Tremont",2223,2223,2272,-0.00447828,"Village",2233,1862,1.194,40.525,-89.489,475
"illinois/wayne","Wayne",2223,2223,2280,-0.0049239,"Village",2234,388,5.73,41.9473,-88.2532,476
"illinois/amboy","Amboy",2210,2210,2275,-0.00584795,"City",2223,356,6.21,41.7159,-89.3409,477
"illinois/lake-woods","Lake Woods",2209,2209,2515,-0.0208333,"CDP",2256,1313,1.682,40.2052,-88.3746,478
"illinois/thornton","Thornton",2203,2203,2377,-0.015639,"Village",2238,928,2.375,41.5742,-87.6193,479
"illinois/prestbury","Prestbury",2194,2194,1978,0.0143319,"CDP",2163,3505,0.626,41.786,-88.424,480
"illinois/elwood","Elwood",2183,2183,2223,-0.0036513,"Village",2191,160,13.646,41.4181,-88.1172,481
"illinois/altamont","Altamont",2168,2168,2217,-0.00459137,"City",2178,1411,1.537,39.0561,-88.7469,482
"illinois/petersburg","Petersburg",2155,2155,2260,-0.00965074,"City",2176,1380,1.562,40.0143,-89.8453,483
"illinois/white-hall","White Hall",2152,2152,2274,-0.0110294,"City",2176,835,2.577,39.4386,-90.4011,484
"illinois/brighton","Brighton",2135,2135,2212,-0.00697674,"Village",2150,1111,1.921,39.0409,-90.14,485
"illinois/lake-summerset","Lake Summerset",2132,2132,1958,0.0028222,"CDP",2126,1006,2.119,42.454,-89.3902,486
"illinois/richmond","Richmond",2130,2130,2089,0.00377003,"Village",2122,497,4.288,42.4638,-88.3094,487
"illinois/fairmont-city","Fairmont City",2120,2120,2255,-0.0125757,"Village",2147,342,6.205,38.6465,-90.1002,488
"illinois/lexington","Lexington",2060,2060,2094,-0.00338655,"City",2067,1006,2.047,40.6469,-88.7841,489
"illinois/nokomis","Nokomis",2059,2059,2138,-0.00771084,"City",2075,1630,1.263,39.3003,-89.2851,490
"illinois/oakwood-hills","Oakwood Hills",2043,2043,2068,-0.00244141,"Village",2048,1878,1.088,42.2481,-88.24,491
"illinois/mount-sterling","Mount Sterling",2034,2034,1989,0.00444444,"City",2025,1836,1.108,39.9854,-90.7641,492
"illinois/cambridge","Cambridge",2021,2021,2085,-0.00639135,"Village",2034,1015,1.991,41.2924,-90.1909,493
"illinois/pecatonica","Pecatonica",2016,2016,2080,-0.0064071,"Village",2029,1571,1.283,42.309,-89.3572,494
"illinois/elmwood","Elmwood",1976,1976,2055,-0.00803213,"City",1992,1415,1.396,40.7804,-89.9661,495
"illinois/fisher","Fisher",1964,1964,2056,-0.00908174,"Village",1982,1477,1.33,40.3157,-88.3503,496
"illinois/hinckley","Hinckley",1953,1953,1997,-0.00458715,"Village",1962,2279,0.857,41.7714,-88.6404,497
"illinois/rockdale","Rockdale",1950,1950,2005,-0.00560938,"Village",1961,1382,1.411,41.5049,-88.1248,498
"illinois/prairie-grove","Prairie Grove",1938,1938,1960,-0.00205973,"Village",1942,335,5.781,42.2739,-88.2699,499
"illinois/mount-olive","Mount Olive",1925,1925,2015,-0.00926402,"City",1943,1670,1.153,39.0727,-89.7279,500
"illinois/mason-city","Mason City",1922,1922,2069,-0.0148642,"City",1951,1897,1.013,40.2022,-89.6971,501
"illinois/roanoke","Roanoke",1920,1920,1955,-0.00363259,"Village",1927,2047,0.938,40.7985,-89.2013,502
"illinois/lewistown","Lewistown",1915,1915,2037,-0.0123775,"City",1939,958,2,40.3969,-90.1555,503
"illinois/cambria","Cambria",1913,1913,1552,0.0391092,"Village",1841,1352,1.415,37.7794,-89.1194,504
"illinois/minonk","Minonk",1887,1887,1924,-0.00369588,"City",1894,786,2.4,40.9104,-89.0382,505
"illinois/catlin","Catlin",1886,1886,1981,-0.00997375,"Village",1905,2221,0.849,40.068,-87.7084,506
"illinois/prophetstown","Prophetstown",1878,1878,1942,-0.00687467,"City",1891,1403,1.339,41.6697,-89.9347,507
"illinois/steeleville","Steeleville",1871,1871,1918,-0.00478723,"Village",1880,1228,1.523,38.0084,-89.6624,508
"illinois/athens","Athens",1865,1865,1970,-0.0111347,"City",1886,1107,1.684,39.9619,-89.7216,509
"illinois/lacon","Lacon",1853,1853,1868,-0.00161638,"City",1856,1158,1.6,41.0229,-89.4063,510
"illinois/crystal-lawns","Crystal Lawns",1842,1842,1943,-0.0010846,"CDP",1844,2795,0.659,41.5685,-88.1639,511
"illinois/sesser","Sesser",1838,1838,1885,-0.00487277,"City",1847,1784,1.03,38.0903,-89.0508,512
"illinois/merrionette-park","Merrionette Park",1835,1835,1962,-0.0134409,"Village",1860,4893,0.375,41.6811,-87.7012,513
"illinois/south-roxana","South Roxana",1831,1831,1888,-0.00597177,"Village",1842,848,2.158,38.8106,-90.0599,514
"illinois/new-athens","New Athens",1823,1823,1947,-0.0135281,"Village",1848,863,2.112,38.3189,-89.8736,515
"illinois/mackinaw","Mackinaw",1821,1821,1881,-0.00654664,"Village",1833,1516,1.201,40.5339,-89.3555,516
"illinois/albion","Albion",1817,1817,1952,-0.0146421,"City",1844,851,2.136,38.3766,-88.0576,517
"illinois/channel-lake","Channel Lake",1814,1814,1784,0.00554324,"CDP",1804,1006,1.804,42.4827,-88.1471,518
"illinois/bellevue","Bellevue",1813,1813,1878,-0.00711939,"Village",1826,815,2.224,40.6876,-89.6732,519
"illinois/westlake-village","Westlake Village",1808,1808,1744,0.071725,"CDP",1687,1963,0.921,42.3098,-89.2925,520
"illinois/farmer-city","Farmer City",1805,1805,1819,-0.00165929,"City",1808,754,2.395,40.2481,-88.6418,521
"illinois/arbury-hills","Arbury Hills",1794,1794,1637,0.0716846,"CDP",1674,10022,0.179,41.5353,-87.8461,522
"illinois/knollwood","Knollwood",1767,1767,1684,0.000566251,"CDP",1766,2921,0.605,42.2846,-87.8793,523
"illinois/carbon-cliff","Carbon Cliff",1759,1759,1841,-0.00901408,"Village",1775,840,2.095,41.4981,-90.3917,524
"illinois/somonauk","Somonauk",1743,1743,1785,-0.00456882,"Village",1751,697,2.501,41.6347,-88.6875,525
"illinois/the-galena-territory","The Galena Territory",1743,1743,1424,0.0271067,"CDP",1697,158,11.011,42.3937,-90.325,526
"illinois/hudson","Hudson",1738,1738,1760,-0.00229621,"Village",1742,2122,0.819,40.6054,-88.989,527
"illinois/girard","Girard",1725,1725,1780,-0.0063364,"City",1736,1847,0.934,39.4466,-89.782,528
"illinois/hampton","Hampton",1714,1714,1774,-0.00695249,"Village",1726,1173,1.461,41.5565,-90.4034,529
"illinois/moweaqua","Moweaqua",1708,1708,1755,-0.0052417,"Village",1717,833,2.051,39.6258,-89.0214,530
"illinois/orion","Orion",1708,1708,1755,-0.0052417,"Village",1717,1827,0.935,41.3515,-90.3763,531
"illinois/marissa","Marissa",1701,1701,1828,-0.0144844,"Village",1726,236,7.214,38.2497,-89.7714,532
"illinois/teutopolis","Teutopolis",1687,1687,1626,0.00716418,"Village",1675,826,2.043,39.132,-88.4796,533
"illinois/ford-heights","Ford Heights",1678,1678,1810,-0.0152582,"Village",1704,862,1.946,41.5109,-87.5814,534
"illinois/chenoa","Chenoa",1674,1674,1719,-0.00534759,"City",1683,689,2.43,40.7376,-88.7278,535
"illinois/stockton","Stockton",1669,1669,1733,-0.00772889,"Village",1682,889,1.877,42.3525,-90.002,536
"illinois/ina","Ina",1655,1655,1649,0.000604594,"Village",1654,688,2.405,38.1499,-88.904,537
"illinois/bridgeport","Bridgeport",1638,1638,1802,-0.0197487,"City",1671,1528,1.072,38.7099,-87.7586,538
"illinois/gilman","Gilman",1636,1636,1740,-0.0126735,"City",1657,672,2.433,40.7605,-88.0009,539
"illinois/atlanta","Atlanta",1620,1620,1662,-0.004914,"City",1628,1297,1.249,40.2636,-89.2308,540
"illinois/jerome","Jerome",1616,1616,1686,-0.00858896,"Village",1630,3498,0.462,39.7678,-89.6784,541
"illinois/heritage-lake","Heritage Lake",1614,1614,1664,0.00373134,"CDP",1608,1425,1.133,40.5466,-89.3296,542
"illinois/jonesboro","Jonesboro",1603,1603,1702,-0.0123229,"City",1623,594,2.7,37.451,-89.2666,543
"illinois/port-byron","Port Byron",1602,1602,1664,-0.00743494,"Village",1614,660,2.428,41.6243,-90.3302,544
"illinois/kirkland","Kirkland",1598,1598,1648,-0.00621891,"Village",1608,1287,1.242,42.0902,-88.8486,545
"illinois/princeville","Princeville",1595,1595,1629,-0.00436954,"Village",1602,942,1.694,40.9347,-89.7547,546
"illinois/thomson","Thomson",1594,1594,1611,-0.00187852,"Village",1597,718,2.219,41.9747,-90.1122,547
"illinois/earlville","Earlville",1587,1587,1611,-0.0031407,"City",1592,1321,1.201,41.5881,-88.923,548
"illinois/bunker-hill","Bunker Hill",1577,1577,1624,-0.00567465,"City",1586,1231,1.281,39.0415,-89.9511,549
"illinois/phoenix","Phoenix",1577,1577,1702,-0.0156055,"Village",1602,3399,0.464,41.6118,-87.6309,550
"illinois/rome","Rome",1572,1572,1394,-0.00694883,"CDP",1583,817,1.923,40.8774,-89.5132,551
"illinois/carrier-mills","Carrier Mills",1565,1565,1665,-0.0126183,"Village",1585,1296,1.208,37.6886,-88.629,552
"illinois/de-pue","De Pue",1563,1563,1625,-0.00761905,"Village",1575,639,2.447,41.3296,-89.3037,553
"illinois/port-barrington","Port Barrington",1555,1555,1584,-0.00384369,"Village",1561,1341,1.16,42.2442,-88.1951,554
"illinois/dunlap","Dunlap",1552,1552,1611,-0.00767263,"Village",1564,557,2.784,40.8452,-89.6759,555
"illinois/lake-camelot","Lake Camelot",1535,1535,1631,-0.00647249,"CDP",1545,882,1.741,40.6351,-89.753,556
"illinois/southern-view","Southern View",1526,1526,1590,-0.00844704,"Village",1539,2278,0.67,39.7546,-89.6517,557
"illinois/delavan","Delavan",1520,1520,1572,-0.00653595,"City",1530,1054,1.442,40.371,-89.5461,558
"illinois/maple-park","Maple Park",1508,1508,1432,0.0100469,"Village",1493,659,2.289,41.9108,-88.6061,559
"illinois/limestone","Limestone",1505,1505,1547,-0.00528751,"Village",1513,561,2.682,41.1487,-87.9559,560
"illinois/maroa","Maroa",1499,1499,1576,-0.00990753,"City",1514,850,1.764,40.0365,-88.9562,561
"illinois/mount-pulaski","Mount Pulaski",1496,1496,1533,-0.00465735,"City",1503,1319,1.134,40.0101,-89.2838,562
"illinois/crainville","Crainville",1493,1493,1442,0.00674309,"Village",1483,903,1.653,37.7538,-89.0591,563
"illinois/ladd","Ladd",1493,1493,1260,0.0325035,"Village",1446,1236,1.208,41.381,-89.2148,564
"illinois/roodhouse","Roodhouse",1480,1480,1569,-0.012016,"City",1498,1313,1.127,39.4841,-90.374,565
"illinois/east-dubuque","East Dubuque",1473,1473,1503,-0.0040568,"City",1479,512,2.875,42.4883,-90.6242,566
"illinois/herscher","Herscher",1468,1468,1517,-0.0067659,"Village",1478,810,1.813,41.0493,-88.1005,567
"illinois/erie","Erie",1465,1465,1515,-0.00677966,"Village",1475,1062,1.38,41.6586,-90.0813,568
"illinois/grayville","Grayville",1464,1464,1543,-0.0108108,"City",1480,688,2.127,38.2551,-87.9969,569
"illinois/zeigler","Zeigler",1458,1458,1482,-0.00341763,"City",1463,1073,1.359,37.9057,-89.0533,570
"illinois/bement","Bement",1457,1457,1484,-0.00341997,"Village",1462,1873,0.778,39.923,-88.5724,571
"illinois/cairo","Cairo",1452,1452,1716,-0.0352159,"City",1505,208,6.987,37.0063,-89.1829,572
"illinois/warsaw","Warsaw",1451,1451,1505,-0.00752394,"City",1462,223,6.52,40.351,-91.428,573
"illinois/lanark","Lanark",1444,1444,1498,-0.00756014,"City",1455,1288,1.121,42.1019,-89.8334,574
"illinois/winchester","Winchester",1444,1444,1569,-0.0170184,"City",1469,1279,1.129,39.6298,-90.456,575
"illinois/hodgkins","Hodgkins",1442,1442,1496,-0.00757054,"Village",1453,532,2.712,41.7661,-87.8619,576
"illinois/venice","Venice",1435,1435,1490,-0.00760719,"City",1446,776,1.849,38.672,-90.1693,577
"illinois/manito","Manito",1434,1434,1551,-0.0157859,"Village",1457,948,1.513,40.4201,-89.7806,578
"illinois/williamsville","Williamsville",1425,1425,1437,-0.00140154,"Village",1427,921,1.548,39.9561,-89.5436,579
"illinois/virginia","Virginia",1422,1422,1512,-0.0125,"City",1440,1178,1.207,39.9529,-90.2104,580
"illinois/gridley","Gridley",1420,1420,1455,-0.0049054,"Village",1427,1152,1.233,40.7437,-88.8809,581
"illinois/mount-carroll","Mount Carroll",1418,1418,1475,-0.00769769,"City",1429,708,2.003,42.0948,-89.9769,582
"illinois/north-pekin","North Pekin",1416,1416,1473,-0.00770848,"Village",1427,1031,1.374,40.6136,-89.6254,583
"illinois/waterman","Waterman",1413,1413,1433,-0.00282287,"Village",1417,943,1.498,41.7656,-88.7631,584
"illinois/capron","Capron",1399,1399,1388,0.00143164,"Village",1397,1812,0.772,42.3988,-88.7387,585
"illinois/forreston","Forreston",1395,1395,1432,-0.00499287,"Village",1402,1479,0.943,42.1273,-89.5784,586
"illinois/germantown","Germantown",1395,1395,1329,0.00940666,"Village",1382,1368,1.02,38.5553,-89.5412,587
"illinois/hebron","Hebron",1389,1389,1383,0.000720461,"Village",1388,710,1.957,42.4654,-88.4344,588
"illinois/roxana","Roxana",1389,1389,1448,-0.00856531,"Village",1401,196,7.101,38.832,-90.0474,589
"illinois/benld","Benld",1388,1388,1465,-0.0106914,"City",1403,1309,1.06,39.093,-89.8023,590
"illinois/leland-grove","Leland Grove",1388,1388,1450,-0.00857143,"City",1400,2210,0.628,39.7787,-89.6839,591
"illinois/twin-grove","Twin Grove",1374,1374,1243,-0.00937275,"CDP",1387,347,3.964,40.4793,-89.1015,592
"illinois/de-soto","De Soto",1368,1368,1400,-0.00436681,"Village",1374,1500,0.912,37.8157,-89.227,593
"illinois/gardner","Gardner",1366,1366,1358,0.00146627,"Village",1364,469,2.912,41.1945,-88.3115,594
"illinois/st-jacob","St. Jacob",1365,1365,1374,-0.00146306,"Village",1367,1612,0.847,38.718,-89.7633,595
"illinois/neoga","Neoga",1361,1361,1396,-0.00511696,"City",1368,979,1.39,39.3216,-88.4503,596
"illinois/durand","Durand",1358,1358,1390,-0.00439883,"Village",1364,1478,0.919,42.4338,-89.3268,597
"illinois/grandview","Grandview",1354,1354,1404,-0.00733138,"Village",1364,4042,0.335,39.8175,-89.618,598
"illinois/north-utica","North Utica",1342,1342,1317,0.00373972,"Village",1337,388,3.455,41.3536,-89.0196,599
"illinois/okawville","Okawville",1341,1341,1366,-0.00371471,"Village",1346,662,2.025,38.4344,-89.548,600
"illinois/vienna","Vienna",1341,1341,1346,-0.000745156,"City",1342,473,2.837,37.4136,-88.8866,601
"illinois/bonnie-brae","Bonnie Brae",1338,1338,1248,0.0721154,"CDP",1248,7005,0.191,41.5999,-88.0345,602
"illinois/new-berlin","New Berlin",1334,1334,1379,-0.00670141,"Village",1343,1181,1.13,39.7261,-89.9144,603
"illinois/toluca","Toluca",1329,1329,1341,-0.00150263,"City",1331,1251,1.062,41.0044,-89.1339,604
"illinois/oblong","Oblong",1327,1327,1372,-0.00673653,"Village",1336,1222,1.086,39.0023,-87.9105,605
"illinois/greenup","Greenup",1325,1325,1367,-0.0060015,"Village",1333,757,1.75,39.2479,-88.16,606
"illinois/philo","Philo",1315,1315,1389,-0.0112782,"Village",1330,1586,0.829,40.0033,-88.1564,607
"illinois/cerro-gordo","Cerro Gordo",1300,1300,1315,-0.00230238,"Village",1303,1783,0.729,39.8892,-88.7345,608
"illinois/lake-catherine","Lake Catherine",1294,1294,1289,-0.00461538,"CDP",1300,1424,0.909,42.4834,-88.1254,609
"illinois/granville","Granville",1293,1293,1357,-0.00995406,"Village",1306,989,1.307,41.2658,-89.2305,610
"illinois/kincaid","Kincaid",1290,1290,1345,-0.00845503,"Village",1301,1579,0.817,39.5868,-89.4165,611
"illinois/warren","Warren",1276,1276,1330,-0.00854701,"Village",1287,1235,1.033,42.4948,-89.9912,612
"illinois/clifton","Clifton",1272,1272,1352,-0.0124224,"Village",1288,1368,0.93,40.9347,-87.9343,613
"illinois/grant-park","Grant Park",1270,1270,1294,-0.00392157,"Village",1275,372,3.413,41.2427,-87.6358,614
"illinois/forest-lake","Forest Lake",1265,1265,1292,-0.0208978,"CDP",1292,3614,0.35,42.2118,-88.0525,615
"illinois/walnut","Walnut",1259,1259,1309,-0.00788022,"Village",1269,1576,0.799,41.5571,-89.5913,616
"illinois/oakwood","Oakwood",1258,1258,1323,-0.0102282,"Village",1271,1356,0.928,40.1101,-87.7769,617
"illinois/chrisman","Chrisman",1255,1255,1302,-0.00712025,"City",1264,1745,0.719,39.8044,-87.6749,618
"illinois/onarga","Onarga",1253,1253,1327,-0.0118297,"Village",1268,749,1.674,40.7153,-88.0108,619
"illinois/barry","Barry",1241,1241,1293,-0.0079936,"City",1251,867,1.432,39.6983,-91.0399,620
"illinois/harristown","Harristown",1237,1237,1309,-0.011191,"Village",1251,688,1.797,39.8428,-89.0607,621
"illinois/wyoming","Wyoming",1231,1231,1298,-0.0104502,"City",1244,1441,0.854,41.0638,-89.7729,622
"illinois/st-elmo","St. Elmo",1230,1230,1267,-0.00565885,"City",1237,829,1.483,39.0218,-88.8514,623
"illinois/hanna-city","Hanna City",1218,1218,1262,-0.00733496,"Village",1227,895,1.361,40.6931,-89.805,624
"illinois/hillcrest","Hillcrest",1207,1207,1221,-0.00247934,"Village",1210,340,3.549,41.9668,-89.0626,625
"illinois/valmeyer","Valmeyer",1201,1201,1228,-0.00414594,"Village",1206,351,3.423,38.3058,-90.2983,626
"illinois/long-creek","Long Creek",1196,1196,1253,-0.0091135,"Village",1207,424,2.823,39.8052,-88.8473,627
"illinois/east-hazel-crest","East Hazel Crest",1194,1194,1288,-0.0156636,"Village",1213,1523,0.784,41.5758,-87.6503,628
"illinois/palestine","Palestine",1185,1185,1230,-0.00753769,"Village",1194,1502,0.789,39.0016,-87.6126,629
"illinois/tower-lakes","Tower Lakes",1185,1185,1222,-0.00587248,"Village",1192,1289,0.919,42.2278,-88.1552,630
"illinois/bethany","Bethany",1174,1174,1251,-0.0126156,"Village",1189,1202,0.977,39.6442,-88.7409,631
"illinois/downs","Downs",1164,1164,1196,-0.0051282,"Village",1170,388,2.998,40.3988,-88.8892,632
"illinois/ashland","Ashland",1151,1151,1216,-0.0111684,"Village",1164,1539,0.748,39.8885,-90.0079,633
"illinois/rossville","Rossville",1146,1146,1220,-0.0129199,"Village",1161,820,1.398,40.3815,-87.6699,634
"illinois/chatsworth","Chatsworth",1145,1145,1184,-0.00693842,"Town",1153,427,2.682,40.7214,-88.2996,635
"illinois/andalusia","Andalusia",1144,1144,1181,-0.00608167,"Village",1151,974,1.175,41.4359,-90.7139,636
"illinois/sidney","Sidney",1138,1138,1202,-0.0112945,"Village",1151,1824,0.624,40.0254,-88.0722,637
"illinois/waverly","Waverly",1138,1138,1188,-0.0087108,"City",1148,1098,1.036,39.5926,-89.9528,638
"illinois/hartford","Hartford",1137,1137,1186,-0.00871839,"Village",1147,219,5.201,38.8131,-90.0921,639
"illinois/la-harpe","La Harpe",1137,1137,1174,-0.00611888,"City",1144,834,1.364,40.5848,-90.9695,640
"illinois/toulon","Toulon",1130,1130,1184,-0.00964067,"City",1141,1111,1.017,41.0934,-89.8632,641
"illinois/malta","Malta",1125,1125,1142,-0.00265957,"Village",1128,1829,0.615,41.9295,-88.8712,642
"illinois/toledo","Toledo",1123,1123,1157,-0.00619469,"Village",1130,1265,0.888,39.2728,-88.2422,643
"illinois/minier","Minier",1121,1121,1155,-0.00620567,"Village",1128,1950,0.575,40.4337,-89.3139,644
"illinois/cuba","Cuba",1114,1114,1179,-0.011535,"City",1127,2052,0.543,40.4936,-90.1934,645
"illinois/st-anne","St. Anne",1111,1111,1156,-0.00803571,"Village",1120,1339,0.83,41.0235,-87.717,646
"illinois/bull-valley","Bull Valley",1109,1109,1118,-0.00180018,"Village",1111,115,9.649,42.3235,-88.3609,647
"illinois/camp-point","Camp Point",1108,1108,1123,-0.00270027,"Village",1111,875,1.266,40.0364,-91.0641,648
"illinois/sandoval","Sandoval",1108,1108,1155,-0.0080573,"Village",1117,1112,0.996,38.6121,-89.1193,649
"illinois/albers","Albers",1105,1105,1134,-0.00540054,"Village",1111,1114,0.992,38.5436,-89.6173,650
"illinois/louisville","Louisville",1102,1102,1144,-0.00720721,"Village",1110,1331,0.828,38.7694,-88.5069,651
"illinois/macon","Macon",1102,1102,1171,-0.0125448,"City",1116,870,1.267,39.7087,-88.9967,652
"illinois/divernon","Divernon",1096,1096,1141,-0.0081448,"Village",1105,1436,0.763,39.5704,-89.6536,653
"illinois/assumption","Assumption",1091,1091,1145,-0.00998185,"City",1102,1102,0.99,39.518,-89.0477,654
"illinois/atwood","Atwood",1089,1089,1114,-0.00457038,"Village",1094,1774,0.614,39.7992,-88.4627,655
"illinois/third-lake","Third Lake",1087,1087,1112,-0.00457875,"Village",1092,1849,0.588,42.3698,-88.0091,656
"illinois/milford","Milford",1084,1084,1159,-0.0136488,"Village",1099,1615,0.671,40.6278,-87.6962,657
"illinois/norris-city","Norris City",1082,1082,1139,-0.010064,"Village",1093,923,1.172,37.9786,-88.3278,658
"illinois/colchester","Colchester",1080,1080,1104,-0.00460829,"City",1085,939,1.15,40.4256,-90.7922,659
"illinois/kingston","Kingston",1077,1077,1106,-0.00554017,"Village",1083,1095,0.984,42.1011,-88.7632,660
"illinois/big-rock","Big Rock",1070,1070,1105,-0.00649953,"Village",1077,248,4.318,41.7668,-88.5264,661
"illinois/martinsville","Martinsville",1068,1068,1113,-0.00835655,"City",1077,528,2.021,39.3384,-87.8809,662
"illinois/warrensburg","Warrensburg",1066,1066,1111,-0.00837209,"Village",1075,1464,0.728,39.932,-89.0628,663
"illinois/blue-mound","Blue Mound",1062,1062,1129,-0.012093,"Village",1075,1815,0.585,39.7006,-89.1185,664
"illinois/central-city","Central City",1060,1060,1100,-0.00749064,"Village",1068,1876,0.565,38.5485,-89.1283,665
"illinois/goreville","Goreville",1058,1058,1063,-0.000944287,"Village",1059,394,2.686,37.5551,-88.9735,666
"illinois/danvers","Danvers",1056,1056,1091,-0.00658514,"Village",1063,1315,0.803,40.53,-89.1751,667
"illinois/worden","Worden",1054,1054,1094,-0.00753296,"Village",1062,1478,0.713,38.9311,-89.8402,668
"illinois/stillman-valley","Stillman Valley",1052,1052,1072,-0.00378788,"Village",1056,1846,0.57,42.1054,-89.179,669
"illinois/lockport-heights","Lockport Heights",1051,1051,885,0.0713558,"CDP",981,6110,0.172,41.6215,-88.0224,670
"illinois/oquawka","Oquawka",1047,1047,1124,-0.0141243,"Village",1062,713,1.469,40.9375,-90.9495,671
