stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
KS,20,NCNTY20137N20137,Norton County,"Norton County, KS",2013799999,5431,643,678,877,1132,1276
KS,20,METRO45820M45820,Osage County,"Topeka, KS MSA",2013999999,15787,792,820,1057,1392,1411
KS,20,NCNTY20141N20141,Osborne County,"Osborne County, KS",2014199999,3493,643,668,877,1108,1276
KS,20,NCNTY20143N20143,Ottawa County,"Ottawa County, KS",2014399999,5768,684,711,933,1143,1357
KS,20,NCNTY20145N20145,Pawnee County,"Pawnee County, KS",2014599999,6288,643,668,877,1183,1276
KS,20,NCNTY20147N20147,Phillips County,"Phillips County, KS",2014799999,4960,643,695,877,1185,1276
KS,20,METRO31740M31740,Pottawatomie County,"Manhattan, KS HUD Metro FMR Area",2014999999,25482,870,875,1068,1485,1792
KS,20,NCNTY20151N20151,Pratt County,"Pratt County, KS",2015199999,9175,643,766,877,1157,1161
KS,20,NCNTY20153N20153,Rawlins County,"Rawlins County, KS",2015399999,2544,697,726,952,1141,1385
KS,20,NCNTY20155N20155,Reno County,"Reno County, KS",2015599999,61881,660,729,957,1168,1326
KS,20,NCNTY20157N20157,Republic County,"Republic County, KS",2015799999,4686,643,800,877,1200,1276
KS,20,NCNTY20159N20159,Rice County,"Rice County, KS",2015999999,9441,643,668,877,1178,1276
KS,20,METRO31740M31740,Riley County,"Manhattan, KS HUD Metro FMR Area",2016199999,72105,870,875,1068,1485,1792
KS,20,NCNTY20163N20163,Rooks County,"Rooks County, KS",2016399999,4925,643,668,877,1052,1276
KS,20,NCNTY20165N20165,Rush County,"Rush County, KS",2016599999,2939,643,710,877,1220,1302
KS,20,NCNTY20167N20167,Russell County,"Russell County, KS",2016799999,6702,643,765,877,1062,1276
KS,20,NCNTY20169N20169,Saline County,"Saline County, KS",2016999999,54160,765,770,1009,1222,1336
KS,20,NCNTY20171N20171,Scott County,"Scott County, KS",2017199999,5128,643,668,877,1132,1471
KS,20,METRO48620M48620,Sedgwick County,"Wichita, KS HUD Metro FMR Area",2017399999,522700,782,849,1099,1444,1784
KS,20,NCNTY20175N20175,Seward County,"Seward County, KS",2017599999,21942,733,771,1000,1344,1505
KS,20,METRO45820M45820,Shawnee County,"Topeka, KS MSA",2017799999,178625,792,820,1057,1392,1411
KS,20,NCNTY20179N20179,Sheridan County,"Sheridan County, KS",2017999999,2450,643,699,877,1052,1276
KS,20,NCNTY20181N20181,Sherman County,"Sherman County, KS",2018199999,5940,683,710,932,1117,1356
KS,20,NCNTY20183N20183,Smith County,"Smith County, KS",2018399999,3561,643,762,877,1134,1276
KS,20,NCNTY20185N20185,Stafford County,"Stafford County, KS",2018599999,4054,643,682,877,1167,1276
KS,20,NCNTY20187N20187,Stanton County,"Stanton County, KS",2018799999,2060,643,668,877,1132,1276
KS,20,NCNTY20189N20189,Stevens County,"Stevens County, KS",2018999999,5275,662,688,903,1100,1196
KS,20,METRO48620N20191,Sumner County,"Sumner County, KS HUD Metro FMR Area",2019199999,22517,751,812,1065,1277,1410
