ZCTA,land_sqmi,water_sqmi,lat,lon,population,density_sqmi
10507,7.428,0.047,41.232188,-73.691689,6044,813.6779752288637
10509,36.075,3.341,41.410855,-73.59434,20055,555.9251559251559
10510,10.103,0.103,41.139472,-73.835704,10027,992.4774819360587
10511,1.503,0.052,41.263168,-73.944966,2296,1527.6114437791086
10512,52.183,5.569,41.447747,-73.709884,24238,464.4807695992948
10514,12.723,0.114,41.172119,-73.769217,12227,961.0154837695511
10516,31.491,0.613,41.461973,-73.874913,5607,178.05087167762218
10520,14.449,1.365,41.226601,-73.867641,12208,844.9027614367776
10522,2.444,0.001,41.009696,-73.863304,11464,4690.671031096563
10523,3.646,0.002,41.059498,-73.819254,9773,2680.4717498628634
10524,20.836,0.324,41.375325,-73.926217,4298,206.27759646765216
10526,3.548,0.494,41.294095,-73.6594,2040,574.9718151071025
10527,2.234,0.002,41.321169,-73.76994,587,262.7573858549687
10528,3.779,0.001,40.975047,-73.724926,13822,3657.581370732998
10530,3.914,0.008,41.023712,-73.81281,13955,3565.406234031681
10532,2.34,0.004,41.100261,-73.80073,5253,2244.871794871795
10533,3.556,0.056,41.036927,-73.854864,7337,2063.273340832396
10536,26.617,2.808,41.269182,-73.688726,11010,413.6454145846639
10537,1.073,0.095,41.344088,-73.881002,2418,2253.4948741845296
10538,3.514,0.023,40.937752,-73.756473,17709,5039.556061468413
10541,24.765,1.646,41.382046,-73.751818,26137,1055.4007672117907
10543,4.283,0.144,40.952693,-73.73604,21022,4908.241886528134
10546,1.206,0.005,41.196605,-73.800569,1229,1019.0713101160862
10547,4.898,0.193,41.313334,-73.846039,7361,1502.8583095140875
10548,2.062,0.053,41.244987,-73.938738,4302,2086.3239573229876
10549,19.093,0.631,41.200584,-73.723498,15858,830.5661760854764
10550,1.987,0.01,40.905448,-73.835253,40072,20167.08605938601
10552,1.65,0.009,40.923972,-73.825555,21499,13029.69696969697
10553,0.698,0.0,40.908607,-73.821566,10815,15494.269340974213
10560,20.904,1.368,41.340527,-73.597609,4914,235.07462686567163
10562,13.513,0.546,41.194423,-73.825285,33700,2493.8947680011843
10566,4.342,0.231,41.289483,-73.916847,25484,5869.184707508061
10567,22.516,0.424,41.288405,-73.895008,20260,899.8045834073548
10570,7.12,0.086,41.128068,-73.78922,13391,1880.758426966292
10573,5.468,0.106,41.015742,-73.677303,40982,7494.87929773226
10576,22.404,0.89,41.221577,-73.572332,4904,218.8894840207106
10577,6.63,0.032,41.038225,-73.710736,5901,890.0452488687783
10578,1.76,0.358,41.314083,-73.677051,1851,1051.7045454545455
10579,34.721,1.553,41.395364,-73.839053,8825,254.1689467469255
10580,8.353,0.2,40.979049,-73.693202,18073,2163.653777086077
10583,12.427,0.037,40.988647,-73.788879,40612,3268.0453850486842
10588,1.626,0.027,41.331483,-73.828476,3081,1894.8339483394834
10589,6.978,0.196,41.332433,-73.692669,7266,1041.2725709372314
10590,13.323,0.432,41.256234,-73.53786,7314,548.9754559783833
